Id_Producto,Cliente,Punto_de_Venta,Familia,Subfamilia,Formato,Precio,Margen,Cliente_Objetivo,Color,Material,Peso,Tamaño,Marca,País_Origen,Ventas_Base,Facturación_Total,Canal_de_Ventas,Numero_Puntos_de_Venta,Región,Segmento,Antigüedad,Población_500m,Población_2km,Puntos_de_Venta_Cercanos,Aparcamiento,Accesibilidad,Horas_Operación,Tipo_Zona,Historico 2023-01,Historico 2023-02,Historico 2023-03,Historico 2023-04,Historico 2023-05,Historico 2023-06,Historico 2023-07,Historico 2023-08,Historico 2023-09,Historico 2023-10,Historico 2023-11,Historico 2023-12,Historico 2024-1,Historico 2024-2,Historico 2024-3
P17,C2,12,Familia_17,Subfamilia_4,Mediano,807.27,0.22,Adolescentes,Rojo,Madera,1.298974816720205,Mediano,MarcaA,España,964,890575.28,Físico,15,Norte,Alta,9,8778,31591,17,Sí,Alta,oct-20,Comercial,870269.0,511936.0,671460.0,694545.0,700783.0,560635.0,466828.0,602493.0,1117038.0,551722.0,1073306.0,928900.0,1184118.0,509927.0,941442.0
P4,C3,12,Familia_5,Subfamilia_6,Mediano,405.22,0.23,Adolescentes,Verde,Plástico,8.62454173298195,Grande,MarcaA,Alemania,295,326029.1,Físico,15,Sur,Media,1,6485,45924,7,Sí,Media,oct-21,Residencial,462.0,604.0,512.0,566.0,680.0,490.0,451.0,539.0,611.0,523.0,510.0,646.0,487.0,584.0,467.0
P51,C4,10,Familia_22,Subfamilia_0,Grande,407.61,0.22,Niños,Verde,Metal,6.3052775919915405,Mediano,MarcaA,USA,453,542176.08,Online,15,Norte,Media,2,6262,38469,1,No,Alta,oct-21,Residencial,1019.0,985.0,1196.0,892.0,889.0,901.0,1105.0,1096.0,942.0,997.0,1292.0,1011.0,1007.0,1026.0,1106.0
P47,C5,14,Familia_10,Subfamilia_5,Grande,285.15,0.06,Adolescentes,Rojo,Metal,4.32979876069808,Grande,MarcaD,China,707,288048.96,Online,15,Norte,Media,9,6775,22241,2,Sí,Alta,oct-18,Comercial,1392.0,1853.0,2321.0,1808.0,1617.0,1717.0,1646.0,1729.0,1363.0,1943.0,1835.0,1562.0,1367.0,1690.0,2086.0
P66,C6,11,Familia_10,Subfamilia_0,Mediano,417.53,0.12,Adultos,Verde,Madera,4.32979876069808,Mediano,MarcaD,China,635,474948.23,Físico,15,Oeste,Media,1,2297,5913,19,Sí,Media,oct-18,Industrial,2115.0,2575.0,2089.0,3030.0,2737.0,2097.0,2610.0,2289.0,1947.0,2598.0,3138.0,2249.0,1839.0,2333.0,2528.0
P69,C8,11,Familia_10,Subfamilia_4,Pequeño,576.91,0.2,Adolescentes,Rojo,Metal,4.174870827430395,Pequeño,MarcaC,España,180,617307.73,Físico,15,Este,Media,4,3695,13344,18,No,Baja,ago-18,Industrial,5593.0,7979.0,9260.0,12425.0,8767.0,6096.0,9335.0,9583.0,4890.0,10191.0,7488.0,7482.0,5199.0,6797.0,11892.0
P6,C9,12,Familia_12,Subfamilia_2,Mediano,811.96,0.22,Adultos,Negro,Vidrio,2.892473393442814,Pequeño,MarcaB,China,149,294386.96,Mixto,15,Este,Baja,9,8159,40911,9,Sí,Baja,sep-19,Comercial,7031.0,4503.0,7080.0,6208.0,8288.0,6761.0,11081.0,7386.0,5184.0,6633.0,9377.0,4998.0,9781.0,5924.0,9998.0
P39,C10,10,Familia_20,Subfamilia_1,Grande,672.94,0.25,Adultos,Negro,Metal,4.174870827430395,Pequeño,MarcaD,España,526,797152.75,Físico,15,Este,Baja,3,5769,35165,11,Sí,Media,oct-21,Residencial,459161.0,487915.0,609503.0,583005.0,523407.0,525556.0,507412.0,623576.0,381272.0,785734.0,684980.0,753225.0,404053.0,457188.0,486087.0
P19,C11,12,Familia_19,Subfamilia_5,Pequeño,14.56,0.22,Adolescentes,Blanco,Madera,8.62454173298195,Grande,MarcaA,España,610,385158.14,Mixto,15,Oeste,Alta,8,4842,38910,14,No,Baja,oct-20,Comercial,4135.0,3937.0,4434.0,3006.0,5700.0,4522.0,2685.0,2448.0,3101.0,5849.0,4273.0,4116.0,4168.0,5199.0,3986.0
P58,C12,14,Familia_11,Subfamilia_2,Pequeño,136.24,0.11,Adultos,Negro,Metal,5.227262291755486,Mediano,MarcaB,Alemania,570,930519.32,Online,15,Oeste,Baja,8,4493,46031,12,No,Alta,sep-20,Industrial,8228.0,5400.0,7265.0,5577.0,9590.0,5540.0,6252.0,8249.0,9439.0,6606.0,7715.0,6350.0,6408.0,7748.0,8091.0
P66,C13,11,Familia_10,Subfamilia_0,Mediano,417.53,0.12,Adultos,Verde,Madera,4.32979876069808,Mediano,MarcaD,China,635,390492.15,Mixto,15,Norte,Alta,8,5249,48272,12,No,Baja,ago-18,Industrial,3748.0,3438.0,4249.0,5422.0,4265.0,3171.0,4106.0,4915.0,2809.0,3452.0,4823.0,4718.0,2937.0,3638.0,4291.0
P45,C14,10,Familia_17,Subfamilia_5,Pequeño,554.71,0.16,Niños,Negro,Metal,7.574519167102895,Pequeño,MarcaD,España,544,609496.46,Mixto,15,Este,Baja,2,8403,15371,12,No,Media,sep-21,Comercial,340800.0,196535.0,301812.0,275454.0,187786.0,299956.0,189801.0,237928.0,281615.0,265874.0,284138.0,335283.0,329662.0,226905.0,278336.0
P51,C15,11,Familia_22,Subfamilia_0,Grande,407.61,0.22,Niños,Verde,Metal,6.3052775919915405,Mediano,MarcaA,USA,453,477368.76,Mixto,15,Oeste,Alta,5,4681,43704,10,No,Baja,sep-21,Comercial,801.0,861.0,970.0,739.0,907.0,813.0,991.0,879.0,923.0,764.0,830.0,751.0,699.0,880.0,1030.0
P22,C16,10,Familia_11,Subfamilia_0,Pequeño,123.11,0.2,Adolescentes,Rojo,Madera,4.925475817925061,Pequeño,MarcaB,España,489,939772.97,Mixto,15,Este,Alta,7,3441,18514,17,Sí,Alta,ago-20,Comercial,7321.0,7199.0,9398.0,11143.0,9394.0,8716.0,8216.0,6148.0,9228.0,11483.0,11991.0,7906.0,10296.0,10012.0,9359.0
P25,C17,12,Familia_14,Subfamilia_4,Mediano,642.7,0.17,Niños,Verde,Plástico,6.003666150518424,Pequeño,MarcaD,España,121,920912.43,Mixto,15,Norte,Alta,5,2981,47342,14,No,Alta,oct-22,Comercial,6476.0,7169.0,7483.0,7696.0,8942.0,8993.0,7832.0,13062.0,8983.0,7946.0,5703.0,6908.0,9245.0,4583.0,4833.0
P9,C20,2,Familia_25,Subfamilia_4,Pequeño,206.52,0.29,Adultos,Azul,Plástico,0.6412789856525488,Pequeño,MarcaC,España,924,294260.81,Online,15,Este,Baja,9,4089,38967,10,Sí,Media,ago-21,Industrial,11349.0,13746.0,8300.0,8530.0,18504.0,12740.0,8463.0,13692.0,13556.0,19609.0,16206.0,15675.0,15857.0,14535.0,7623.0
