Id_Producto;Cliente;Punto_de_Venta;Familia;Subfamilia;Formato;Precio;Margen;Cliente_Objetivo;Color;Material;Peso;Tamaño;Marca;País_Origen;Ventas_Base;Facturación_Total;Canal_de_Ventas;Numero_Puntos_de_Venta;Región;Segmento;Antigüedad;Población_500m;Población_2km;Puntos_de_Venta_Cercanos;Aparcamiento;Accesibilidad;Horas_Operación;Tipo_Zona;Historico 2023-01;Historico 2023-02;Historico 2023-03;Historico 2023-04;Historico 2023-05;Historico 2023-06;Historico 2023-07;Historico 2023-08;Historico 2023-09;Historico 2023-10;Historico 2023-11;Historico 2023-12;Historico 2024-1;Historico 2024-12;Historico 2024-3
P51;C0;11;Familia_22;Subfamilia_0;Grande;407.61;0.22;Niños;Verde;Metal;63.052.775.919.915.400;Mediano;MarcaA;USA;453;878396.09;Mixto;15;Oeste;Alta;5;7409;12157;10;No;Alta;sep-21;Industrial;1516.0;1948.0;1511.0;1366.0;1713.0;1157.0;1984.0;1606.0;1954.0;1213.0;1524;1790;1519;1465;2017.0
P69;C1;12;Familia_10;Subfamilia_4;Pequeño;576.91;0.2;Adolescentes;Rojo;Metal;4.174.870.827.430.390;Pequeño;MarcaC;España;180;353899.08;Online;15;Norte;Media;10;1786;47376;3;Sí;Media;oct-20;Comercial;2324.0;2944.0;3202.0;2831.0;2283.0;1802.0;2896.0;2420.0;1811.0;3220.0;2714;2464;2525;1868;3173.0
P17;C2;12;Familia_17;Subfamilia_4;Mediano;807.27;0.22;Adolescentes;Rojo;Madera;1.298.974.816.720.200;Mediano;MarcaA;España;964;890575.28;Físico;15;Norte;Alta;9;8778;31591;17;Sí;Alta;oct-20;Comercial;870269.0;511936.0;671460.0;694545.0;700783.0;560635.0;466828.0;602493.0;1117038.0;551722.0;1073306;928900;1184118;509927;941442.0
P4;C3;12;Familia_5;Subfamilia_6;Mediano;405.22;0.23;Adolescentes;Verde;Plástico;862.454.173.298.195;Grande;MarcaA;Alemania;295;326029.1;Físico;15;Sur;Media;1;6485;45924;7;Sí;Media;oct-21;Residencial;462.0;604.0;512.0;566.0;680.0;490.0;451.0;539.0;611.0;523.0;510;646;487;584;467.0
P51;C4;10;Familia_22;Subfamilia_0;Grande;407.61;0.22;Niños;Verde;Metal;63.052.775.919.915.400;Mediano;MarcaA;USA;453;542176.08;Online;15;Norte;Media;2;6262;38469;1;No;Alta;oct-21;Residencial;1019.0;985.0;1196.0;892.0;889.0;901.0;1105.0;1096.0;942.0;997.0;1292;1011;1007;1026;1106.0
P47;C5;14;Familia_10;Subfamilia_5;Grande;285.15;0.06;Adolescentes;Rojo;Metal;432.979.876.069.808;Grande;MarcaD;China;707;288048.96;Online;15;Norte;Media;9;6775;22241;2;Sí;Alta;oct-18;Comercial;1392.0;1853.0;2321.0;1808.0;1617.0;1717.0;1646.0;1729.0;1363.0;1943.0;1835;1562;1367;1690;2086.0
P66;C6;11;Familia_10;Subfamilia_0;Mediano;417.53;0.12;Adultos;Verde;Madera;432.979.876.069.808;Mediano;MarcaD;China;635;474948.23;Físico;15;Oeste;Media;1;2297;5913;19;Sí;Media;oct-18;Industrial;2115.0;2575.0;2089.0;3030.0;2737.0;2097.0;2610.0;2289.0;1947.0;2598.0;3138;2249;1839;2333;2528.0
P63;C7;10;Familia_19;Subfamilia_1;Mediano;69.97;0.26;Niños;Rojo;Madera;4.925.475.817.925.060;Pequeño;MarcaD;China;644;693729.98;Mixto;15;Este;Alta;7;6848;39433;17;No;Media;ago-22;Comercial;58574.0;52164.0;60578.0;37761.0;65168.0;56788.0;29909.0;31969.0;33360.0;56890.0;86142;31739;66276;58385;52655.0
P69;C8;11;Familia_10;Subfamilia_4;Pequeño;576.91;0.2;Adolescentes;Rojo;Metal;4.174.870.827.430.390;Pequeño;MarcaC;España;180;617307.73;Físico;15;Este;Media;4;3695;13344;18;No;Baja;ago-18;Industrial;5593.0;7979.0;9260.0;12425.0;8767.0;6096.0;9335.0;9583.0;4890.0;10191.0;7488;7482;5199;6797;11892.0
P6;C9;12;Familia_12;Subfamilia_2;Mediano;811.96;0.22;Adultos;Negro;Vidrio;2.892.473.393.442.810;Pequeño;MarcaB;China;149;294386.96;Mixto;15;Este;Baja;9;8159;40911;9;Sí;Baja;sep-19;Comercial;7031.0;4503.0;7080.0;6208.0;8288.0;6761.0;11081.0;7386.0;5184.0;6633.0;9377;4998;9781;5924;9998.0
